"trait_name","count"
"diameter at breast height (1.3 m)",14929488
"flower color",3445
"flower pollination syndrome",2143
"fruit type",363
"inflorescence length",389
"leaf area",32559
"leaf area per leaf dry mass",51894
"leaf carbon content per leaf dry mass",4843
"leaf carbon content per leaf nitrogen content",3500
"leaf compoundness",976
"leaf dry mass",28486
"leaf dry mass per leaf fresh mass",17790
"leaf fresh mass",5800
"Leaf lamina fracture toughness",363
"leaf life span",6212
"leaf nitrogen content per leaf area",2414
"leaf nitrogen content per leaf dry mass",14764
"leaf phosphorus content per leaf area",532
"leaf phosphorus content per leaf dry mass",7437
"leaf photosynthetic rate per leaf area",4582
"leaf photosynthetic rate per leaf dry mass",3564
"leaf relative growth rate",1843
"leaf stomatal conductance for H2O per leaf area",2215
"leaf stomatal conductance per leaf area",446
"leaf thickness",4265
"longest whole plant longevity",730
"maximum fruit length",459
"maximum leaf length",558
"maximum leaf width",545
"maximum whole plant height",3722
"maximum whole plant longevity",1065
"minimum fruit length",383
"minimum leaf length",549
"minimum leaf width",542
"minimum whole plant height",658
"plant flowering begin",13731
"plant flowering duration",1763
"plant fruiting duration",631
"root dry mass",7307
"seed length",1111
"seed mass",93543
"stem dry mass",5193
"stem relative growth rate",1843
"stem wood density",39162
"vessel lumen area",2230
"vessel number",2230
"whole plant dispersal syndrome",1324
"whole plant growth form",330047
"whole plant growth form diversity",67413
"whole plant height",10167913
"whole plant primary juvenile period length",375
"whole plant sexual system",1348
"whole plant vegetative phenology",6706
"whole plant woodiness",49060
